Brew_ID,Name,City,State
103,King Street Brewing Company,Anchorage, AK
224,Midnight Sun Brewing Company,Anchorage, AK
271,Alaskan Brewing Company,Juneau, AK
454,Denali Brewing Company,Talkeetna, AK
459,Kenai River Brewing Company,Soldotna, AK
494,Broken Tooth Brewing Company,Anchorage, AK
558,Sleeping Lady Brewing Company,Anchorage, AK
287,Back Forty Beer Company,Gadsden, AL
413,Straight to Ale,Huntsville, AL
479,Good People Brewing Company,Birmingham, AL
140,Core Brewing & Distilling Company,Springdale, AR
260,Ozark Beer Company,Rogers, AR
31,SanTan Brewing Company,Chandler, AZ
158,Phoenix Ale Brewery,Phoenix, AZ
159,Lumberyard Brewing Company,Flagstaff, AZ
161,Four Peaks Brewing Company,Tempe, AZ
232,Borderlands Brewing Company,Tucson, AZ
233,College Street Brewhouse and Pub,Lake Havasu City, AZ
252,Barrio Brewing Company,Tucson, AZ
508,Mudshark Brewing Company,Lake Havasu City, AZ
537,Grand Canyon Brewing Company,Williams, AZ
549,Prescott Brewing Company,Prescott, AZ
550,Mogollon Brewing Company,Flagstaff, AZ
4,Mike Hess Brewing Company,San Diego, CA
5,Fort Point Beer Company,San Francisco, CA
34,The Dudes' Brewing Company,Torrance, CA
35,Ballast Point Brewing Company,San Diego, CA
36,Anchor Brewing Company,San Francisco, CA
37,Figueroa Mountain Brewing Company,Buellton, CA
49,Firestone Walker Brewing Company,Paso Robles, CA
79,Speakasy Ales & Lagers,San Francisco, CA
84,Sierra Nevada Brewing Company,Chico, CA
99,Mission Brewery,San Diego, CA
112,Mother Earth Brew Company,Vista, CA
113,Black Market Brewing Company,Temecula, CA
172,Anderson Valley Brewing Company,Boonville, CA
210,Modern Times Beer,San Diego, CA
226,Refuge Brewery,Temecula, CA
241,Golden Road Brewing,Los Angeles, CA
253,Santa Cruz Mountain Brewing,Santa Cruz, CA
281,Headlands Brewing Company,Mill Valley, CA
289,Saint Archer Brewery,San Diego, CA
311,Pine Street Brewery,San Francisco, CA
321,Claremont Craft Ales,Claremont, CA
334,David's Ale Works,Diamond Springs, CA
347,Manzanita Brewing Company,Santee, CA
351,Central Coast Brewing Company,San Luis Obispo, CA
369,21st Amendment Brewery,San Francisco, CA
371,Pizza Port Brewing Company,Carlsbad, CA
398,Ruhstaller Beer Company,Sacramento, CA
424,Hess Brewing Company,San Diego, CA
433,Seabright Brewery,Santa Cruz, CA
449,Mavericks Beer Company,Half Moon Bay, CA
450,TailGate Beer,San Diego, CA
462,Armstrong Brewing Company,South San Francisco, CA
477,Hangar 24 Craft Brewery,Redlands, CA
492,Devil's Canyon Brewery,Belmont, CA
515,Monkey Paw Pub & Brewery,San Diego, CA
518,Butcher's Brewing,Carlsbad, CA
523,Uncommon Brewers,Santa Cruz, CA
535,Mammoth Brewing Company,Mammoth Lakes, CA
556,Ukiah Brewing Company,Ukiah, CA
7,Great Divide Brewing Company,Denver, CO
38,Avery Brewing Company,Boulder, CO
52,Upslope Brewing Company,Boulder, CO
64,Crazy Mountain Brewing Company,Edwards, CO
82,Epic Brewing,Denver, CO
83,New Belgium Brewing Company,Fort Collins, CO
105,Lone Tree Brewing Company,Lone Tree, CO
108,Bonfire Brewing Company,Eagle, CO
111,Renegade Brewing Company,Denver, CO
120,Steamworks Brewing Company,Durango, CO
136,Pug Ryan's Brewery,Dillon, CO
145,Grimm Brothers Brewhouse,Loveland, CO
149,Odyssey Beerwerks,Arvada, CO
167,Oskar Blues Brewery,Longmont, CO
169,High Hops Brewery,Windsor, CO
221,Big Choice Brewing,Broomfield, CO
264,Denver Beer Company,Denver, CO
265,Ska Brewing Company,Durango, CO
292,Tommyknocker Brewery,Idaho Springs, CO
295,Black Shirt Brewing Company,Denver, CO
342,Palisade Brewing Company,Palisade, CO
356,Pikes Peak Brewing Company,Monument, CO
370,Eddyline Brewery & Restaurant,Buena Vista, CO
387,Revolution Brewing,Paonia, CO
392,Breckenridge Brewery,Denver, CO
406,Fate Brewing Company,Boulder, CO
418,Boulder Beer Company,Boulder, CO
420,Sanitas Brewing Company,Boulder, CO
421,Gore Range Brewery,Edwards, CO
422,Redstone Meadery,Boulder, CO
425,Wynkoop Brewing Company,Denver, CO
430,Asher Brewing Company,Boulder, CO
442,Pateros Creek Brewing Company,Fort Collins, CO
452,Dad & Dude's Breweria,Aurora, CO
453,Centennial Beer Company,Edwards, CO
460,River North Brewery,Denver, CO
463,AC Golden Brewing Company,Golden, CO
473,Crystal Springs Brewing Company,Boulder, CO
481,Telluride Brewing Company,Telluride, CO
497,Dry Dock Brewing Company,Aurora, CO
504,Oskar Blues Brewery,Lyons, CO
514,Arctic Craft Brewery,Colorado Springs, CO
516,Crabtree Brewing Company,Greeley, CO
521,Twisted Pine Brewing Company,Boulder, CO
524,Aspen Brewing Company,Aspen, CO
532,Dolores River Brewery,Dolores, CO
552,Silverton Brewery,Silverton, CO
90,Broad Brook Brewing LLC,East Windsor, CT
109,Thomas Hooker Brewing Company,Bloomfield, CT
131,Shebeen Brewing Company,Wolcott, CT
236,Back East Brewing Company,Bloomfield, CT
249,Half Full Brewery,Stamford, CT
411,New England Brewing Company,Woodbridge, CT
436,Two Roads Brewing Company,Stratford, CT
513,Cottrell Brewing,Pawcatuck, CT
228,DC Brau Brewing Company,Washington, DC
317,Iron Hill Brewery & Restaurant,Wilmington, DE
540,Twin Lakes Brewing Company,Greenville, DE
68,3 Daughters Brewing,St Petersburg, FL
142,Cigar City Brewing Company,Tampa, FL
222,Big Storm Brewing Company,Odessa, FL
244,Two Henrys Brewing Company,Plant City, FL
309,Brew Bus Brewing,Tampa, FL
341,Due South Brewing Company,Boynton Beach, FL
374,7venth Sun,Dunedin, FL
379,Bold City Brewery,Jacksonville, FL
394,Miami Brewing Company,Miami, FL
448,Swamp Head Brewery,Gainesville, FL
466,Engine 15 Brewing,Jacksonville Beach, FL
467,Green Room Brewing,Jacksonville, FL
468,Brindle Dog Brewing Company,Tampa Bay, FL
491,Tampa Bay Brewing Company,Tampa, FL
528,Intuition Ale Works,Jacksonville, FL
50,SweetWater Brewing Company,Atlanta, GA
217,Orpheus Brewing,Atlanta, GA
248,Creature Comforts,Athens, GA
401,Macon Beer Company,Macon, GA
416,Coastal Empire Beer Company,Savannah, GA
470,Terrapin Brewing Company,Athens, GA
476,Red Hare Brewing Company,Marietta, GA
204,Mehana Brewing Co.,Hilo, HI
205,Hawai'i Nui Brewing Co.,Hilo, HI
376,Maui Brewing Company,Lahaina, HI
440,Kona Brewing Company,Kona, HI
209,Kalona Brewing Company,Kalona, IA
366,Great River Brewery,Davenport, IA
469,Peace Tree Brewing Company,Knoxville, IA
472,Okoboji Brewing Company,Spirit Lake, IA
483,Confluence Brewing Company,Des Moines, IA
170,Crooked Fence Brewing Company,Garden City, ID
219,Laughing Dog Brewing Company,Ponderay, ID
308,Payette Brewing Company,Garden City, ID
310,Sockeye Brewing Company,Boise, ID
314,Slanted Rock Brewing Company,Meridian, ID
41,Big Muddy Brewing,Murphysboro, IL
45,Revolution Brewing Company,Chicago, IL
53,Pipeworks Brewing Company,Chicago, IL
55,Flesk Brewing Company,Lombard, IL
56,Pollyanna Brewing Company,Lemont, IL
57,BuckleDown Brewing,Lyons, IL
58,Destihl Brewery,Bloomington, IL
65,SlapShot Brewing Company,Chicago, IL
66,Mikerphone Brewing,Chicago, IL
75,Two Brothers Brewing Company,Warrenville, IL
89,Goose Island Brewing Company,Chicago, IL
176,Spiteful Brewing Company,Chicago, IL
197,Goose Island Brewery Company,Chicago, IL
211,Temperance Beer Company,Evanston, IL
257,Finch's Beer Company,Chicago, IL
328,Half Acre Beer Company,Chicago, IL
362,Wild Onion Brewing Company,Lake Barrington, IL
553,Mickey Finn's Brewery,Libertyville, IL
17,Flat 12 Bierwerks,Indianapolis, IN
18,Tin Man Brewing Company,Evansville, IN
19,Black Acre Brewing Co.,Indianapolis, IN
20,Brew Link Brewing,Plainfield, IN
21,Bare Hands Brewery,Granger, IN
22,Three Pints Brewing,Martinsville, IN
23,Four Fathers Brewing ,Valparaiso, IN
24,Indiana City Brewing,Indianapolis, IN
25,Burn 'Em Brewing,Michigan City, IN
26,Sun King Brewing Company,Indianapolis, IN
27,Evil Czech Brewery,Mishawaka, IN
28,450 North Brewing Company,Columbus, IN
29,Taxman Brewing Company,Bargersville, IN
166,Great Crescent Brewery,Aurora, IN
178,18th Street Brewery,Gary, IN
203,Upland Brewing Company,Bloomington, IN
